source_id,research_id,variant_index,variant_count,source_file,source_entry,variant_label,formula_or_construction,data_requirement,inventory_data_route,formula_audit_status,formula_audit_reason,static_reuse_evidence,semantic_class,include_in_j_baseline_if_submitted,future_information_check,static_duplicate_of,post_static_decision
CJ-G002-V05,CHANGJIANG-G002,5,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 05/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G002-V06,CHANGJIANG-G002,6,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 06/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V01,CHANGJIANG-G003,1,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 01/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V02,CHANGJIANG-G003,2,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 02/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V03,CHANGJIANG-G003,3,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 03/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V04,CHANGJIANG-G003,4,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 04/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V05,CHANGJIANG-G003,5,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 05/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G003-V06,CHANGJIANG-G003,6,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 06/06,\(LP_V=\frac{\sum,C^{need}_t}{\sum,UNCLASSIFIED,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G004-V01,CHANGJIANG-G004,1,1,长江__结构化反转因子__32项全量清单.md,基础反转,基础反转,\(Rev=\sum r_i\)；短期过度反应后均值回归,direct / ready,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G005-V01,CHANGJIANG-G005,1,1,长江__结构化反转因子__32项全量清单.md,时间加权反转,时间加权反转,\(Rev_T=\sum w_i r_i\)，指数半衰权重；近期价格变动权重更高,direct / ready,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G006-V01,CHANGJIANG-G006,1,3,长江__结构化反转因子__32项全量清单.md,高频反转 `10m/30m/60m`,高频反转 `10m/30m/60m` :: 10m,\(Rev_V=\sum V_ir_i/\sum V_i\)；放量价格变动更可能过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G006-V02,CHANGJIANG-G006,2,3,长江__结构化反转因子__32项全量清单.md,高频反转 `10m/30m/60m`,高频反转 `10m/30m/60m` :: 30m,\(Rev_V=\sum V_ir_i/\sum V_i\)；放量价格变动更可能过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G006-V03,CHANGJIANG-G006,3,3,长江__结构化反转因子__32项全量清单.md,高频反转 `10m/30m/60m`,高频反转 `10m/30m/60m` :: 60m,\(Rev_V=\sum V_ir_i/\sum V_i\)；放量价格变动更可能过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V01,CHANGJIANG-G007,1,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 10m; volume-tail=10%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V02,CHANGJIANG-G007,2,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 10m; volume-tail=15%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V03,CHANGJIANG-G007,3,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 10m; volume-tail=20%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V04,CHANGJIANG-G007,4,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 30m; volume-tail=10%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V05,CHANGJIANG-G007,5,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 30m; volume-tail=15%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V06,CHANGJIANG-G007,6,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 30m; volume-tail=20%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V07,CHANGJIANG-G007,7,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 60m; volume-tail=10%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V08,CHANGJIANG-G007,8,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 60m; volume-tail=15%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G007-V09,CHANGJIANG-G007,9,9,长江__结构化反转因子__32项全量清单.md,"动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\)","动量时间段反转 `Rev_mom[f,q]`，\(f∈\{10,30,60\}m\)，\(q∈\{10,15,20\}\%\) :: 60m; volume-tail=20%",\(\sum_{i\in L_q}(1/V_i)r_i/\sum_{L_q}(1/V_i)\)；缩量段更接近信息延续,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V01,CHANGJIANG-G008,1,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 10m; volume-tail=10%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V02,CHANGJIANG-G008,2,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 10m; volume-tail=15%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V03,CHANGJIANG-G008,3,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 10m; volume-tail=20%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V04,CHANGJIANG-G008,4,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 30m; volume-tail=10%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V05,CHANGJIANG-G008,5,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 30m; volume-tail=15%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V06,CHANGJIANG-G008,6,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 30m; volume-tail=20%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
CJ-G008-V07,CHANGJIANG-G008,7,9,长江__结构化反转因子__32项全量清单.md,"反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵","反转时间段反转 `Rev_rev[f,q]`，同一 3×3 参数矩阵 :: 60m; volume-tail=10%",\(\sum_{i\in H_q}V_ir_i/\sum_{H_q}V_i\)；放量段更接近过度反应,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,READY_FOR_LOCAL_IMPLEMENTATION,公式可由本地 1 分钟 OHLCV/成交笔数或日线面板直接构造。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,READY_FOR_LOCAL_IMPLEMENTATION
